ISBN-10,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,Published Date,Publisher,No. of Pages,Product URL
9.78E+12,The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,$19.99,$18.25,01-07-2012,HarperCollins Publishers,224,https://www.booktopia.com.au/the-screwtape-letters-letters-from-a-senior-to-a-junior-devil-c-s-lewis/book/9780007461240.html
9.78E+12,Star Trek,Diane Duane,ePUB,$5.99,$5.99,03-12-2001,Pocket Books/Star Trek,256,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780743422277.html
9.78E+12,Familiar Stranger,Stuart Hall,ePUB,$15.99,$15.99,06-04-2017,Penguin Books Ltd,256,https://www.booktopia.com.au/familiar-stranger-stuart-hall/ebook/9780241290002.html
9.78E+12,Across the Seas,Griff Hosker,ePUB,$9.19,$9.19,04-03-2019,Griff Hosker,,https://www.booktopia.com.au/across-the-seas-griff-hosker/ebook/9780463983096.html
9.78E+12,American Royals,Katharine McGee,ePUB,$9.99,$9.99,01-09-2019,Penguin Random House Children's UK,368,https://www.booktopia.com.au/american-royals-katharine-mcgee/ebook/9780241365984.html
9.78E+12,Book Not Found,,,,,,,,
9.78E+12,Homage to Catalonia,George Orwell,ePUB,$15.99,$15.99,05-06-2003,Penguin Books Ltd,272,https://www.booktopia.com.au/homage-to-catalonia-george-orwell/ebook/9780141911717.html
9.78E+12,The Twits,Roald Dahl; Quentin Blake,ePUB,$9.99,$9.99,06-09-2007,Penguin Random House Children's UK,112,https://www.booktopia.com.au/the-twits-roald-dahl/ebook/9780141930169.html
9.78E+12,The Great Hunt,Robert Jordan,ePUB,$11.99,$11.99,17-11-2009,"Little, Brown Book Group",736,https://www.booktopia.com.au/the-great-hunt-robert-jordan/ebook/9780748115358.html
9.78E+12,Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,ePUB,$9.99,$9.99,06-10-2015,Penguin Random House Children's UK,528,https://www.booktopia.com.au/magnus-chase-and-the-sword-of-summer-book-1--rick-riordan/ebook/9780141342436.html
9.78E+12,Boy,Roald Dahl; Quentin Blake,ePUB,$9.99,$9.99,04-09-2008,Penguin Random House Children's UK,192,https://www.booktopia.com.au/boy-roald-dahl/ebook/9780141903125.html
9.78E+12,Angels,Marian Keyes,ePUB,$15.99,$15.99,31-03-2005,Penguin Books Ltd,496,https://www.booktopia.com.au/angels-marian-keyes/ebook/9780141928685.html
9.78E+12,The Lost (Paula Maguire 1),Claire McGowan,ePUB,$11.99,$11.99,11-04-2013,Headline,305,https://www.booktopia.com.au/the-lost-paula-maguire-1--claire-mcgowan/ebook/9780755386390.html
9.78E+12,Anxiety,Joshua Fletcher,ePUB,$9.38,$9.38,22-03-2016,Joshua Fletcher,,https://www.booktopia.com.au/anxiety-joshua-fletcher/ebook/9781310517228.html
9.78E+12,George Washington's Secret Six,Brian Kilmeade; Don Yaeger,ePUB,$22.29,$17.99,05-11-2013,Penguin Publishing Group,288,https://www.booktopia.com.au/george-washington-s-secret-six-brian-kilmeade/ebook/9780698137653.html
9.78E+12,Jamie's Food Tube,Gennaro Contaldo,ePUB,$14.99,$14.99,02-07-2015,Penguin Books Ltd,128,https://www.booktopia.com.au/jamie-s-food-tube-gennaro-contaldo/ebook/9781405921107.html
9.78E+12,The Name of the Wind,Patrick Rothfuss,ePUB,$12.99,$12.99,22-04-2010,Orion,672,https://www.booktopia.com.au/the-name-of-the-wind-patrick-rothfuss/ebook/9780575087057.html
9.78E+12,Darkfever,Karen Marie Moning,ePUB,$14.66,$11.99,31-10-2006,Random House Publishing Group,,https://www.booktopia.com.au/darkfever-karen-marie-moning/ebook/9780440336358.html
9.78E+12,Kiss,Jill Mansell,Paperback,$26.99,$26.4,10-05-2007,Headline,512,https://www.booktopia.com.au/kiss-jill-mansell/book/9780755332557.html
9.78E+12,Business Model Generation,Alexander Osterwalder,PDF,$45.09,$45.09,23-07-2010,Wiley Professional Development (P&T),288,https://www.booktopia.com.au/business-model-generation-alexander-osterwalder/ebook/9780470901038.html
9.78E+12,The Night Stalker,Chris Carter,ePUB,$12.99,$12.99,18-08-2011,Simon & Schuster UK,464,https://www.booktopia.com.au/the-night-stalker-chris-carter/ebook/9780857202994.html
9.78E+12,The Jury Master,Robert Dugoni,ePUB,$17.99,$17.99,15-07-2008,Grand Central Publishing,300,https://www.booktopia.com.au/the-jury-master-robert-dugoni/ebook/9780446539654.html
9.78E+12,The Book of Why,Judea Pearl; Dana Mackenzie,ePUB,$16.99,$16.99,15-05-2018,Penguin Books Ltd,400,https://www.booktopia.com.au/the-book-of-why-judea-pearl/ebook/9780241242643.html
9.78E+12,Blow Fly,Patricia Cornwell,ePUB,$11.99,$11.99,04-09-2008,"Little, Brown Book Group",544,https://www.booktopia.com.au/blow-fly-patricia-cornwell/ebook/9780748109265.html
9.78E+12,The Sapphire Widow,Dinah Jefferies,ePUB,$15.99,$15.99,05-04-2018,Penguin Books Ltd,400,https://www.booktopia.com.au/the-sapphire-widow-dinah-jefferies/ebook/9780241980750.html
9.78E+12,Couples That Work,Jennifer Petriglieri,ePUB,$18.99,$18.99,10-10-2019,Penguin Books Ltd,304,https://www.booktopia.com.au/couples-that-work-jennifer-petriglieri/ebook/9780241379011.html
9.78E+12,Time of Contempt,Andrzej Sapkowski; David French,ePUB,$12.99,$12.99,24-06-2013,Orion,320,https://www.booktopia.com.au/time-of-contempt-andrzej-sapkowski/ebook/9780575088436.html
9.78E+12,Typhoon Fury,Clive Cussler; Boyd Morrison,ePUB,$15.99,$15.99,16-11-2017,Penguin Books Ltd,480,https://www.booktopia.com.au/typhoon-fury-clive-cussler/ebook/9781405927697.html
9.78E+12,The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,ePUB,$12.99,$12.99,04-09-2008,Headline,448,https://www.booktopia.com.au/the-eagle-s-conquest-eagles-of-the-empire-2--simon-scarrow/ebook/9780755350841.html
9.78E+12,The Divine Comedy,Dante Alighieri; John Ciardi,ePUB,$25.7,$20.99,27-05-2003,Penguin Publishing Group,928,https://www.booktopia.com.au/the-divine-comedy-dante-alighieri/ebook/9781101117996.html
9.78E+12,A Maiden's Grave,Jeffery Deaver,ePUB,$14.66,$11.99,01-01-2000,Penguin Publishing Group,,https://www.booktopia.com.au/a-maiden-s-grave-jeffery-deaver/ebook/9781101209356.html
9.78E+12,No One Left To Tell (The Baltimore Series Book 2),Karen Rose,ePUB,$11.99,$11.99,05-01-2012,Headline,451,https://www.booktopia.com.au/no-one-left-to-tell-the-baltimore-series-book-2--karen-rose/ebook/9780755373970.html
9.78E+12,The Snow Child,Eowyn Ivey,ePUB,$12.99,$12.99,01-02-2012,Headline,318,https://www.booktopia.com.au/the-snow-child-eowyn-ivey/ebook/9780755380558.html
